('Basic EPS', '-', '0.74', '-0.98', '-1.14', '-2.37')
         367450 function calls (353030 primitive calls) in 1.187 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
    42/30    0.000    0.000    0.014    0.000 css_parser.py:581(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       38    0.000    0.000    0.001    0.000 typing.py:1190(_alias)
    38/29    0.000    0.000    0.014    0.000 css_parser.py:741(parse_pseudo_open)
       38    0.000    0.000    0.000    0.000 enum.py:453(_find_data_type)
       38    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
       37    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       36    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       36    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       35    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
    35/21    0.000    0.000    0.001    0.000 typing.py:337(__getitem__)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
       34    0.000    0.000    0.000    0.000 typing.py:769(<genexpr>)
       33    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       33    0.000    0.000    0.000    0.000 typing.py:173(<listcomp>)
       28    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       28    0.000    0.000    0.000    0.000 __init__.py:568(__missing__)
       27    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       27    0.000    0.000    0.000    0.000 typing.py:196(_check_generic)
       25    0.000    0.000    0.001    0.000 typing.py:177(_subs_tvars)
       25    0.000    0.000    0.001    0.000 typing.py:618(__getitem__)
       24    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       24    0.000    0.000    0.001    0.000 typing.py:757(__getitem_inner__)
       24    0.000    0.000    0.000    0.000 tokenize.py:143(<listcomp>)
       22    0.000    0.000    0.000    0.000 util.py:15(lower)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       21    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
       21    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       21    0.000    0.000    0.000    0.000 typing.py:209(_remove_dups_flatten)
       21    0.000    0.000    0.000    0.000 abc.py:125(__new__)
       20    0.000    0.000    0.000    0.000 tokenize.py:107(group)
       20    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
       20    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
       19    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
       19    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       18    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
       18    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       18    0.000    0.000    0.000    0.000 typing.py:476(__hash__)
       18    0.001    0.000    0.001    0.000 __init__.py:316(namedtuple)
       17    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
    17/10    0.000    0.000    0.131    0.013 {built-in method builtins.__import__}
       17    0.000    0.000    0.000    0.000 message.py:479(set_raw)
       17    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       16    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       16    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
       16    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
       16    0.000    0.000    0.000    0.000 request.py:621(__lt__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       15    0.000    0.000    0.050    0.003 css_parser.py:308(__init__)
       14    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       14    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       14    0.000    0.000    0.000    0.000 css_parser.py:461(__init__)
       14    0.000    0.000    0.019    0.001 css_parser.py:1156(process_selectors)
       14    0.000    0.000    0.000    0.000 typing.py:442(__init__)
       14    0.000    0.000    0.000    0.000 hashlib.py:116(__get_openssl_constructor)
       14    0.000    0.000    0.000    0.000 enum.py:64(__init__)
       14    0.000    0.000    0.000    0.000 enum.py:125(__prepare__)
       14    0.000    0.000    0.000    0.000 enum.py:152(<dictcomp>)
       14    0.001    0.000    0.001    0.000 enum.py:177(<setcomp>)
       14    0.001    0.000    0.004    0.000 enum.py:135(__new__)
       14    0.000    0.000    0.000    0.000 enum.py:335(__getattr__)
       14    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
       14    0.000    0.000    0.000    0.000 enum.py:907(_power_of_two)
       13    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       13    0.000    0.000    0.000    0.000 typing.py:841(__init_subclass__)
       13    0.000    0.000    0.000    0.000 enum.py:360(__members__)
       12    0.000    0.000    0.000    0.000 opcode.py:43(name_op)
       12    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
       11    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       11    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       11    0.000    0.000    0.000    0.000 typing.py:542(<genexpr>)
       10    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       10    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       10    0.000    0.000    0.000    0.000 socket.py:97(_intenum_converter)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
